COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,PERSONS_LAST_DOSE,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE
Malawi,MWI,AFRO,REPORTING,18-06-2023,8306224,5343858,4199954,11-03-2021,2,1130407
Malaysia,MYS,WPRO,REPORTING,04-06-2023,72628221,28137456,27550446,24-02-2021,8,16336757
Maldives,MDV,SEARO,REPORTING,25-05-2023,951764,399308,385167,01-02-2021,8,167289
Mali,MLI,AFRO,REPORTING,14-05-2023,5922585,4354292,3633589,31-03-2021,1,
Malta,MLT,EURO,REPORTING,11-06-2023,1280143,450522,444900,23-12-2020,4,352633
Marshall Islands,MHL,WPRO,REPORTING,24-03-2023,110742,47077,40689,29-12-2020,3,18559
Martinique,MTQ,AMRO,REPORTING,02-06-2023,401816,150795,145536,,2,92919
Mauritania,MRT,AFRO,REPORTING,14-05-2023,4068530,2101236,1538089,26-03-2021,2,383866
Mauritius,MUS,AFRO,REPORTING,28-05-2023,2615287,1123773,1088142,26-01-2021,3,640419
Mexico,MEX,AMRO,REPORTING,02-06-2023,222226293,96727823,81346379,24-12-2020,8,57014052
Micronesia (Federated States of),FSM,WPRO,REPORTING,28-03-2023,198749,83871,80910,13-01-2021,4,30537
Monaco,MCO,EURO,REPORTING,04-12-2022,71027,25319,24933,30-06-2021,7,17806
Mongolia,MNG,WPRO,REPORTING,17-03-2023,5668144,2284018,2185282,23-02-2021,6,1058839
Montenegro,MNE,EURO,REPORTING,04-12-2022,523735,272152,251583,24-02-2021,5,0
Montserrat,MSR,AMRO,REPORTING,02-06-2023,4619,2104,1952,08-02-2021,2,563
Morocco,MAR,EMRO,REPORTING,14-05-2023,55389602,25020168,23521989,28-01-2021,10,6884356
Mozambique,MOZ,AFRO,REPORTING,18-06-2023,34948793,22869646,21329745,08-03-2021,3,2323562
Myanmar,MMR,SEARO,REPORTING,02-05-2023,89454913,40354937,35196377,27-01-2021,2,13903599
Namibia,NAM,AFRO,REPORTING,18-06-2023,992661,618314,540692,19-03-2021,4,298560
Nauru,NRU,WPRO,REPORTING,20-02-2023,32157,13106,11346,09-04-2021,2,7705
Nepal,NPL,SEARO,REPORTING,20-06-2023,62086946,27804935,24389063,27-01-2021,8,9892948
Netherlands,NLD,EURO,REPORTING,11-09-2022,36105753,12776868,11957152,06-01-2021,6,9417108
New Caledonia,NCL,WPRO,REPORTING,03-04-2023,480497,192371,184801,20-01-2021,2,103325
New Zealand,NZL,WPRO,REPORTING,21-04-2023,12252378,4241210,4084115,19-02-2021,4,2719283
Nicaragua,NIC,AMRO,REPORTING,02-06-2023,15498213,6404524,6117158,03-03-2021,11,2892531
Niger,NER,AFRO,REPORTING,12-03-2023,7339299,6217508,5454196,29-03-2021,2,
Nigeria,NGA,AFRO,REPORTING,19-03-2023,116606863,82325196,69793071,05-03-2021,1,12313372
Niue,NIU,WPRO,REPORTING,04-03-2023,4923,1638,1635,08-06-2021,1,1225
North Macedonia,MKD,EURO,REPORTING,07-05-2023,1862987,854570,838181,17-02-2021,7,161633
Northern Mariana Islands (Commonwealth of the),MNP,WPRO,REPORTING,30-05-2023,123536,46824,45953,19-12-2020,3,26121
Norway,NOR,EURO,REPORTING,11-06-2023,12336663,4347197,4062204,23-12-2020,4,3020810
occupied Palestinian territory,PSE,EMRO,REPORTING,18-10-2022,3748571,2012767,1776973,02-02-2021,10,336967
Oman,OMN,EMRO,REPORTING,25-10-2022,7086050,3257365,3048826,29-12-2020,11,779859
Pakistan,PAK,EMRO,REPORTING,18-06-2023,339722404,165559158,140461565,03-02-2021,11,51923673
Palau,PLW,WPRO,REPORTING,10-03-2023,51032,18573,18278,03-01-2021,3,12885
Panama,PAN,AMRO,REPORTING,02-06-2023,8901881,3533579,3174229,20-01-2021,2,1769698
Papua New Guinea,PNG,WPRO,REPORTING,04-06-2023,532983,390289,329329,30-03-2021,4,35747
Paraguay,PRY,AMRO,REPORTING,02-06-2023,9784169,3995915,3547736,22-02-2021,8,1660692
Peru,PER,AMRO,REPORTING,02-06-2023,89593907,30487563,28654963,09-02-2021,4,22143074
Philippines,PHL,WPRO,REPORTING,19-03-2023,189317158,82684774,78443972,01-03-2021,11,23811248
Pitcairn Islands,PCN,WPRO,REPORTING,29-08-2022,117,47,47,17-05-2021,1,23
Poland,POL,EURO,REPORTING,11-06-2023,58223243,22983299,22704578,23-12-2020,5,12532074
Portugal,PRT,EURO,REPORTING,11-06-2023,27777341,9788002,8902934,23-12-2020,12,7054573
Puerto Rico,PRI,AMRO,REPORTING,02-06-2023,7846764,2905470,2688410,,4,1808780
Qatar,QAT,EMRO,REPORTING,07-05-2023,7609178,2852178,2852178,,10,1904822
Republic of Korea,KOR,WPRO,REPORTING,25-05-2023,135852851,44894318,42969958,26-02-2021,5,33643904
Republic of Moldova,MDA,EURO,REPORTING,11-06-2023,2288948,1108879,1078505,03-03-2021,7,402985
Romania,ROU,EURO,REPORTING,11-06-2023,16110560,8187976,8142177,27-01-2021,4,1768737
Russian Federation,RUS,EURO,OWID,26-05-2023,186692479,88811982,79702396,,2,
Rwanda,RWA,AFRO,REPORTING,04-06-2023,27322059,10884714,10399665,05-03-2021,7,4225194
Saba,XCA,AMRO,REPORTING,02-06-2023,4979,1687,1667,,,1170
"Saint Helena, Ascension and Tristan da Cunha",SHN,AFRO,OWID,05-05-2021,7892,4361,3531,,1,
Saint Kitts and Nevis,KNA,AMRO,REPORTING,02-06-2023,64297,33794,27000,22-02-2021,3,3465
Saint Lucia,LCA,AMRO,REPORTING,02-06-2023,122977,60140,54971,17-02-2021,5,7866
Saint Vincent and the Grenadines,VCT,AMRO,REPORTING,02-06-2023,73443,37532,31632,01-02-2021,5,4279
Samoa,WSM,WPRO,REPORTING,24-02-2023,453130,191403,177954,18-04-2021,2,82268
San Marino,SMR,EURO,REPORTING,22-05-2022,69338,26357,23633,24-02-2021,2,19348
Sao Tome and Principe,STP,AFRO,REPORTING,04-06-2023,263275,140256,111986,15-03-2021,2,34624
Saudi Arabia,SAU,EMRO,REPORTING,25-04-2023,68534631,27041364,25433941,06-01-2021,10,16059326
Senegal,SEN,AFRO,REPORTING,07-05-2023,2936343,2684696,1442833,23-02-2021,3,815965
Serbia,SRB,EURO,REPORTING,05-03-2023,6722671,3398116,3324555,23-12-2020,5,0
Seychelles,SYC,AFRO,REPORTING,09-04-2023,224558,88520,83565,10-01-2021,4,44936
Sierra Leone,SLE,AFRO,REPORTING,04-06-2023,8475172,5399967,4638619,15-03-2021,2,977762
Singapore,SGP,WPRO,REPORTING,30-05-2023,15289876,5285826,5247569,30-12-2020,4,4756481
Sint Eustatius,XBA,AMRO,REPORTING,02-06-2023,4319,1791,1686,,,767
Sint Maarten,SXM,AMRO,REPORTING,02-06-2023,66829,29788,26773,22-02-2021,3,9146
Slovakia,SVK,EURO,REPORTING,11-06-2023,7221055,2839404,2791174,23-12-2020,7,1686230
Slovenia,SVN,EURO,REPORTING,04-06-2023,3006861,1222336,1192059,23-12-2020,8,649891
Solomon Islands,SLB,WPRO,REPORTING,30-04-2023,610594,334834,252585,23-03-2021,4,27444
Somalia,SOM,EMRO,REPORTING,30-04-2023,9443849,8370355,7035193,16-03-2021,11,
South Africa,ZAF,AFRO,REPORTING,04-06-2023,38882146,24210953,21038797,17-02-2021,2,4410601
South Sudan,SSD,AFRO,REPORTING,07-05-2023,4312900,4262480,4220606,06-04-2021,2,440238
Spain,ESP,EURO,REPORTING,11-06-2023,112837406,41328627,37483217,30-12-2020,4,26563654
Sri Lanka,LKA,SEARO,REPORTING,30-10-2022,40116590,17143761,14752827,29-01-2021,6,8220002
Sudan,SDN,EMRO,REPORTING,02-04-2023,22598737,15207452,13416394,09-03-2021,11,3891363
Suriname,SUR,AMRO,REPORTING,02-06-2023,554588,267820,237879,23-02-2021,5,48889
Sweden,SWE,EURO,REPORTING,11-06-2023,23226250,7470582,7332983,23-12-2020,5,5541390
Switzerland,CHE,EURO,REPORTING,11-06-2023,16755470,6096586,5723015,23-12-2020,6,4996200
Syrian Arab Republic,SYR,EMRO,REPORTING,18-04-2023,5090630,3295630,2358365,01-04-2021,11,75881
Tajikistan,TJK,EURO,REPORTING,04-12-2022,18871161,5311967,5170582,24-03-2021,6,5200841
Thailand,THA,SEARO,REPORTING,02-06-2023,139247715,57644662,54175237,28-02-2021,8,27427816
The United Kingdom,GBR,EURO,REPORTING,11-09-2022,151248820,53813491,50762968,21-12-2020,3,
Timor-Leste,TLS,SEARO,REPORTING,20-06-2023,2019126,884123,799576,07-04-2021,4,335427
Togo,TGO,AFRO,REPORTING,28-05-2023,3405893,2248264,1554066,10-03-2021,1,427804
Tokelau,TKL,WPRO,REPORTING,05-12-2022,6342,2203,2203,20-07-2021,1,968
Tonga,TON,WPRO,REPORTING,30-04-2023,204640,87345,77366,14-04-2021,2,38545
Trinidad and Tobago,TTO,AMRO,REPORTING,02-06-2023,1589640,754399,718969,17-02-2021,5,174836
Tunisia,TUN,EMRO,REPORTING,13-06-2023,13253094,7218855,6401705,13-03-2021,10,1258521
Turkey,TUR,EURO,REPORTING,29-01-2023,139694693,50974980,50670345,,3,27896331
Turkmenistan,TKM,EURO,REPORTING,05-02-2023,13040514,3359468,3358426,24-02-2021,7,3171535
Turks and Caicos Islands,TCA,AMRO,REPORTING,02-06-2023,73907,32815,30710,11-01-2021,1,7443
Tuvalu,TUV,WPRO,REPORTING,01-02-2023,26783,9763,9505,13-04-2021,1,5745
Uganda,UGA,AFRO,REPORTING,28-05-2023,26406936,20033189,13061126,10-03-2021,5,764664
Ukraine,UKR,EURO,REPORTING,27-02-2022,31668577,15774300,15153577,24-02-2021,6,741197
United Arab Emirates,ARE,EMRO,REPORTING,06-07-2022,24922054,9991089,9792266,,11,5138699
United Republic of Tanzania,TZA,AFRO,REPORTING,12-03-2023,39392419,34434933,32165791,28-07-2021,3,
United States of America,USA,AMRO,REPORTING,02-06-2023,668882018,267321711,227948938,14-12-2020,4,116629517
Uruguay,URY,AMRO,REPORTING,02-06-2023,9023199,3009801,2902437,27-02-2021,3,2079949
Uzbekistan,UZB,EURO,REPORTING,04-06-2023,80043836,22149587,18324762,28-04-2021,9,16136680
Vanuatu,VUT,WPRO,REPORTING,20-02-2023,355430,176624,162250,02-06-2021,3,16556
Venezuela (Bolivarian Republic of),VEN,AMRO,REPORTING,02-06-2023,37860994,22157232,14287370,22-02-2021,6,651502
Viet Nam,VNM,WPRO,REPORTING,08-06-2023,266448231,90270583,85958364,08-03-2021,6,57958886
Wallis and Futuna,WLF,WPRO,REPORTING,23-01-2023,17303,7150,6803,19-03-2021,1,3350
Yemen,YEM,EMRO,REPORTING,18-04-2023,1275368,1032545,788707,20-04-2021,11,63989
Zambia,ZMB,AFRO,REPORTING,09-04-2023,13614983,11637730,9147920,14-04-2021,3,1137360
Zimbabwe,ZWE,AFRO,REPORTING,18-06-2023,13935112,7340570,5504472,18-02-2021,4,2140084
